Date,Minutes Asleep,Sleep Efficiency %,Minutes Deep Sleep,Minutes REM Sleep,Number of Awakenings
2026-02-01,468,91.5,106,116,2
2026-02-02,472,92.0,108,118,2
2026-02-03,465,91.0,105,115,2
2026-02-04,475,92.5,109,119,2
2026-02-05,470,91.5,107,117,2
2026-02-06,463,90.5,104,114,3
2026-02-07,476,92.5,110,120,2
2026-02-08,469,91.0,106,116,2
2026-02-09,461,90.0,103,113,3
2026-02-10,478,93.0,111,121,2
2026-02-11,466,91.0,105,115,2
2026-02-12,471,92.0,108,118,2
2026-02-13,464,90.5,104,114,3
2026-02-14,474,92.5,109,119,2
2026-02-15,467,91.0,106,116,2
2026-02-16,473,92.0,108,118,2
2026-02-17,462,90.5,103,114,3
2026-02-18,477,92.5,110,120,2
2026-02-19,468,91.0,106,116,2
2026-02-20,470,91.5,107,117,2
2026-02-21,465,91.0,105,115,2
2026-02-22,472,92.0,108,118,2
2026-02-23,466,91.0,105,115,3
2026-02-24,474,92.5,109,119,2
2026-02-25,469,91.5,106,117,2
2026-02-26,463,90.5,104,114,3
2026-02-27,476,92.5,110,120,2
2026-02-28,468,91.0,106,116,2
2026-03-01,471,92.0,108,118,2
2026-03-02,465,91.0,105,115,2
