Date,Minutes Asleep,Sleep Efficiency %,Minutes Deep Sleep,Minutes REM Sleep,Number of Awakenings
2026-02-01,465,91.0,105,115,2
2026-02-02,472,92.0,108,118,2
2026-02-03,458,90.0,102,112,3
2026-02-04,478,93.0,110,120,2
2026-02-05,470,91.5,106,116,2
2026-02-06,462,90.5,104,114,3
2026-02-07,475,92.5,109,119,2
2026-02-08,468,91.0,107,117,2
2026-02-09,455,89.5,100,110,3
2026-02-10,480,93.0,112,121,2
2026-02-11,465,91.0,105,115,2
2026-02-12,470,92.0,108,118,2
2026-02-13,460,90.0,103,113,3
2026-02-14,476,92.5,110,120,2
2026-02-15,463,90.5,104,114,3
2026-02-16,478,93.0,111,119,2
2026-02-17,469,91.5,106,116,2
2026-02-18,457,89.0,99,111,4
2026-02-19,474,92.0,108,118,2
2026-02-20,466,91.0,105,115,3
2026-02-21,435,85.0,85,95,5
2026-02-22,428,83.5,80,90,6
2026-02-23,420,82.0,75,88,6
2026-02-24,432,84.0,82,92,5
2026-02-25,418,81.5,73,86,7
2026-02-26,425,83.0,78,89,6
2026-02-27,430,84.5,80,91,5
2026-02-28,422,82.5,76,87,6
