Date,Minutes Asleep,Sleep Efficiency %,Minutes Deep Sleep,Minutes REM Sleep,Number of Awakenings
2026-01-01,490,94.0,120,120,1
2026-01-02,490,94.0,120,120,1
2026-01-03,490,94.0,120,120,1
2026-01-04,490,94.0,120,120,1
2026-01-05,490,94.0,120,120,1
2026-01-06,490,94.0,120,120,1
2026-01-07,490,94.0,120,120,1
2026-01-08,490,94.0,120,120,1
2026-01-09,490,94.0,120,120,1
2026-01-10,490,94.0,120,120,1
2026-01-11,490,94.0,120,120,1
2026-01-12,490,94.0,120,120,1
2026-01-13,490,94.0,120,120,1
2026-01-14,490,94.0,120,120,1
2026-01-15,490,94.0,120,120,1
2026-01-16,490,94.0,120,120,1
2026-01-17,490,94.0,120,120,1
2026-01-18,490,94.0,120,120,1
2026-01-19,490,94.0,120,120,1
2026-01-20,490,94.0,120,120,1
2026-01-21,490,94.0,120,120,1
2026-01-22,490,94.0,120,120,1
2026-01-23,490,94.0,120,120,1
2026-01-24,440,88,100,105,3
2026-01-25,410,84,85,95,5
2026-01-26,380,79,65,80,7
2026-01-27,350,75,50,70,9
2026-01-28,330,72,40,60,11
2026-01-29,340,73,45,65,10
2026-01-30,335,72,42,62,11
